antecedents,consequents,support,confidence,lift
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03943949517446177,0.3299689440993789,2.222340838509317
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.03906829992576095,0.4358178053830227,4.464232576813169
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG CARS BLUE'}),0.03906829992576095,0.40019011406844107,4.464232576813169
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.04305864884929473,0.4983888292158969,5.10516922398337
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.04305864884929473,0.44106463878327,5.105169223983371
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.04797698589458055,0.4013975155279503,4.11165363814562
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04797698589458055,0.4914448669201521,4.11165363814562
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.03878990348923534,0.42307692307692313,4.333723310909623
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.03878990348923534,0.39733840304182516,4.333723310909623
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.0379547141796585,0.45494994438264735,4.660209696451909
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.0379547141796585,0.38878326996197715,4.660209696451909
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.03962509279881218,0.4420289855072464,5.116331200672489
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.03962509279881218,0.4586466165413534,5.116331200672489
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.0425018559762435,0.3555900621118012,3.9667065313838195
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.0425018559762435,0.4741200828157349,3.9667065313838195
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG CARS BLUE'}),0.036284335560504824,0.395748987854251,4.414690572585309
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.036284335560504824,0.4047619047619047,4.414690572585309
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG CARS BLUE'}),0.036191536748329624,0.4338153503893215,4.839331486330567
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.036191536748329624,0.40372670807453415,4.839331486330567
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.04853377876763178,0.406055900621118,4.699955300851952
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04853377876763178,0.5617615467239528,4.699955300851953
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.03405716406829993,0.37145748987854255,4.299490774362164
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.03405716406829993,0.39419978517722887,4.299490774362164
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.033221974758723086,0.3982202447163515,4.609260319079918
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.033221974758723086,0.3845327604726101,4.609260319079918
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.043337045285820344,0.3625776397515528,3.9545917469258436
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.043337045285820344,0.472672064777328,3.954591746925843
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04175946547884187,0.5005561735261401,4.187883017016837
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.04175946547884187,0.3493788819875776,4.187883017016837
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.03507795100222717,0.42046718576195774,4.585986228513013
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.03507795100222717,0.3825910931174089,4.585986228513013
frozenset({'SPOTTY BUNTING'}),frozenset({'PARTY BUNTING'}),0.03609873793615442,0.38783649052841473,3.0306932718884676
